context,model,training_rows,features,best_parameters_json,best_inner_mae,model_seed,inner_seed,search_seed
scale_nested_et|strict6|Quantile|5|2|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 500}",5287.557588488009,3624345795.0,943882573,1415407927.0
scale_nested_et|strict6|Quantile + MI|5|2|Small,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",801.7789575758426,957577103.0,3991643293,2784098291.0
scale_nested_et|strict6|Quantile + MI|5|2|Medium,extra_trees,149,AFP;Output;File,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 300}",1592.0293582930408,2105536680.0,1500528132,1728435259.0
scale_nested_et|strict6|Quantile + MI|5|2|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",5264.961550612184,2758669171.0,677103596,1394402404.0
benchmark|strict6|random_forest|5|2|All,random_forest,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.75, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 300}",2568.038434675466,304926984.0,1133835301,2730571892.0
benchmark|strict6|xgboost|5|2|All,xgboost,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",2716.725454689612,526288119.0,1126813754,2991174625.0
benchmark|strict6|lightgbm|5|2|All,lightgbm,449,AFP;Input;Output;Enquiry;File;Interface,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_samples"": 10, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_lambda"": 0.0, ""subsample"": 1.0}",2664.5318818386236,1675027252.0,2528525292,2394075106.0
benchmark|strict6|stacking|5|2|All,stacking,449,AFP;Input;Output;Enquiry;File;Interface,"{""base_models"": [""tuned_random_forest"", ""tuned_extra_trees"", ""tuned_xgboost""], ""meta_learner"": ""LinearRegression"", ""stack_cv_seed"": 2864153708, ""stack_cv_splits"": 5}",,,2864153708,
scale_nested_et|strict6|Global|5|3|All,extra_trees,449,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",2656.5407788080906,3445777096.0,406897352,1114353343.0
scale_nested_et|strict6|Global + MI|5|3|All,extra_trees,449,AFP;Input;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",2617.1738347705386,1098514027.0,696025548,2514702659.0
scale_nested_et|strict6|Quantile|5|3|Small,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",772.986007888457,4072728943.0,1180731450,9591064.0
scale_nested_et|strict6|Quantile|5|3|Medium,extra_trees,149,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 500}",1682.0560600112592,1161296798.0,1460179244,1188608068.0
scale_nested_et|strict6|Quantile|5|3|Large,extra_trees,150,AFP;Input;Output;Enquiry;File;Interface,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 300}",5546.140328080609,2739500048.0,2636512855,1547823960.0
scale_nested_et|strict6|Quantile + MI|5|3|Small,extra_trees,150,Input;Output;Enquiry,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",799.6574844812982,804665423.0,1691680022,3947937833.0
scale_nested_et|strict6|Quantile + MI|5|3|Medium,extra_trees,149,AFP;Output;Interface,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 300}",1693.0035816088202,2915573387.0,3845172,2925010367.0
scale_nested_et|strict6|Quantile + MI|5|3|Large,extra_trees,150,AFP;Input;Enquiry,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 500}",5334.747759115658,395199450.0,3239507512,940614821.0
